Column1,Column2,Column3
note:EZIC_HANDLER_POSTSNIPE,"WE HAVE MISSED OUR CHANCE

MAN IN RED SURVIVES

HE NOW TARGETS EZIC AGENTS IN KOLECHIA

OUR PLANS MUST ADAPT","기회를 놓쳤습니다

붉은 옷의 남자가 살았습니다

이제 그는 콜레치아에 있는 EZIC 요원들을 노릴 것입니다

계획을 수정해야 합니다"
note:EZIC_HANDLER_DIPLO,"GOVERNMENT PLANS TO YIELD TO KOLECHIAN DEMANDS AND FURTHER CEDE GRESTIN

NEGOTIATIONS MUST BE IMPEDED

ALLOW KOLECHIAN DIPLOMAT ENTRY BUT CONFISCATE PASSPORT FIRST

EZIC AGENT WILL FOLLOW TO ASSUME IDENTITY","정부가 콜레치아의 요구를 수용하고 그레스틴을 더 양도할 예정입니다

교섭자를 반드시 막아야 합니다

콜레치아 외교관의 입국은 허가하되 우선 여권을 압수 하십시오

EZIC 요원이 신원을 추정하기 위해 동행할 것입니다"
note:EZIC_FINAL,"GRESTIN CHECKPOINT IS AT AN END

TODAY WE BREAK THIS WALL DOWN

YOU WILL BE SAFE

HOLD YOUR FIRE

* THE ORDER OF THE EZIC STAR","그레스틴 검문소도 끝입니다

오늘 우리는 장벽을 무너뜨릴 것입니다

당신은 안전할 것입니다

사격하지 마십시오

* EZIC 별의 결사대"
traveler:DEFAULT,Where is my passport? ; My passport? ; Passport? ; What is this slip? Where is passport?,내 여권 어디있습니까? ; 내 여권은요? ; 여권은? ; 이 안내표는 뭐죠? 여권은 어디 있는 겁니까?
traveler:DEFAULT,@It is being confiscated.,@여권은 압수되었습니다.
traveler:DEFAULT,How will I travel? ; What should I do? ; Why? ; You cannot do this.,그럼 어떻게 여행하라고요? ; 이제 어쩌라는 겁니까? ; 왜죠? ; 이러면 안 되죠.
traveler:DEFAULT,@Contact number on slip.,@안내표의 번호에 연락하십시오.
traveler:EZIC_INTRO,The Order awaits.,결사대가 기다리고 있습니다.
traveler:EZIC_CORMAN,Very good.,아주 좋습니다.
traveler:EZIC_CORMAN,Read quickly.,빠르게 읽으십시오.
traveler:EZIC_CORMAN,Do not lose this.,잃어버리지 마십시오.
traveler:EZIC_CORMAN,You have something of mine.,물건을 가지고 있는 걸로 압니다.
traveler:EZIC_CORMAN,My name is Corman Drex.,내 이름은 Corman Drex입니다.
traveler:EZIC_CORMAN,Read the note then return it to me.,쪽지를 읽고 돌려주시죠.
traveler:EZIC_HANDLER_PRE0,Our agents are ready.,요원이 준비되어 있습니다.
traveler:EZIC_HANDLER_PRE0,Starting tomorrow.,내일 시작됩니다.
traveler:EZIC_HANDLER_PRE0,Let them pass.,보내주시죠.
traveler:EZIC_AGENT0,The Order rises.,결사대가 부상할 것입니다.
traveler:EZIC_AGENT0,The Order knows.,결사대는 알고 있습니다.
traveler:EZIC_AGENT1,For Arstotzka and the Order.,아스토츠카와 결사대를 위해.
traveler:EZIC_HANDLER_POST1,Give me the coded documents.,암호화된 문서를 주십시오.
traveler:EZIC_HANDLER_POST1,Both.,둘 다 말입니다.
traveler:EZIC_HANDLER_EXT,Today.,오늘입니다.
traveler:EZIC_AGENT_EXT,For Arstotzka and the Order.,아스토츠카와 결사대를 위해.
traveler:EZIC_AGENT_EXT,"The others do not agree, but I believe the man in red is not a threat.","다들 동의하지 않았지만, 붉은 옷의 사내는 위험하지 않다고 생각합니다."
traveler:EZIC_AGENT_EXT,@What?,@뭐라고요?
traveler:EZIC_AGENT_EXT,Nevermind.,아무것도 아닙니다.
traveler:EZIC_HANDLER_SNIPE,Shoot to kill.,쏴서 죽이십시오.
traveler:EZIC_DIPLO,I require my passport.,여권 돌려주시길.
traveler:EZIC_DIPLO,@It has been confiscated.,@압수되었습니다.
traveler:EZIC_DIPLO,I am Kolechian diplomat here on government request.,전 정부의 요청을 받은 콜레치아 외교관입니다.
traveler:EZIC_DIPLO,Return passport at once.,당장 여권 돌려주세요.
traveler:EZIC_DIPLO,@Call number on slip to recover.,@돌려받으시려면 안내표의 번호에 연락하십시오.
traveler:EZIC_DIPLO,Barbarian.,야만인 같으니.
traveler:EZIC_DIPLO,You cannot do this.,이런 짓을 하다니.
traveler:EZIC_DIPLO_FOLLOW,I saw him enter.,그가 들어가는 걸 봤습니다.
traveler:EZIC_DIPLO_FOLLOW,Give his passport to me.,그 사람의 여권을 제게 주세요.
traveler:EZIC_DIPLO_FOLLOW,Ah good.,아 좋군요.
traveler:EZIC_DIPLO_FOLLOW,I look much the same as him.,제 생김새가 좀 비슷한 거 같지 않습니까.
traveler:EZIC_DIPLO_FOLLOW,Just need to shave my mustache.,콧수염만 좀 밀면 되겠군요.
traveler:EZIC_DIPLO_FOLLOW,But we all must make sacrifices.,하지만 희생은 필요한 법이지요.
traveler:EZIC_DIPLO_FOLLOW,Appove the visa.,입국을 승인해주시오.
traveler:EZIC_DIPLO_FOLLOW,For Arstotzka and the Order.,아스토츠카와 결사대를 위해.
traveler:EZIC_DIPLO_FOLLOW,This is not what was agreed on.,약속한 거랑 다르잖습니까.
traveler:EZIC_DIPLO_FOLLOW,I am sent to collect diplomat's passport.,외교관의 여권을 달란 말입니다.
traveler:EZIC_DIPLO_FOLLOW,@I do not have it.,@없습니다.
traveler:SECRET_POLICE_INTRO,"Good morning, inspector.","좋은 아침입니다, 검사관님."
traveler:SECRET_POLICE_INTRO,You are healthy today yes?,오늘도 건강합니까?
traveler:SECRET_POLICE_INTRO,I have just few questions for you.,몇 가지 질문이 있습니다.
traveler:SECRET_POLICE_INTRO,There was problem at Metro last night.,어젯밤에 지하철에서 문제가 있었습니다.
traveler:SECRET_POLICE_INTRO,Maybe you read about it in paper.,아마 신문에서 읽어보셨을지도 모르지요.
traveler:SECRET_POLICE_INTRO,Is very big news.,큰 뉴스라서 말입니다.
traveler:SECRET_POLICE_INTRO,We think it is not accident.,저희가 보기엔 사고가 아닙니다.
traveler:SECRET_POLICE_INTRO,We think it is caused by suspicious group.,수상한 집단이 일으킨 것으로 보이거든요.
traveler:SECRET_POLICE_INTRO,We think some members pass through this checkpoint.,그 집단원 중 몇몇이 이 검문소를 통과했다고 봅니다.
traveler:SECRET_POLICE_INTRO,So we come talk to you.,그래서 선생님과 이야기를 하러 온 것이지요.
traveler:SECRET_POLICE_INTRO,Have you seen anything like this?,이런 걸 보신 적 있으십니까?
traveler:SECRET_POLICE_INTRO,Is some kind of symbol for group.,집단에서 사용하는 일종의 상징입니다만.
traveler:SECRET_POLICE_INTRO,"If you have any information, you give to us yes?","정보가 있으시면, 주셔야 합니다. 아시겠습니까?"
traveler:SECRET_POLICE_INTRO,Yes?,아시겠습니까?
traveler:SECRET_POLICE_INTRO,@Yes.,@네.
traveler:SECRET_POLICE_INTRO,Very good.,아주 좋습니다.
traveler:SECRET_POLICE_INTRO,Please return my badge and paper.,제 배지와 서류를 돌려주시지요.
traveler:SECRET_POLICE_INTRO,We think suspicious group attempts to stir trouble.,수상한 집단이 문제를 일으키려 하던 걸로 보입니다.
traveler:SECRET_POLICE_INTRO,We think some members enter this checkpoint.,그 집단원 중 몇몇이 이 검문소를 통과했다고 봅니다.
traveler:SECRET_POLICE_INTRO,What is this?,이건 뭐지요?
traveler:SECRET_POLICE_INTRO,Interesting.,흥미롭군요.
traveler:SECRET_POLICE_INTRO,"Yes, very interesting.","그래요, 아주 흥미로워요."
traveler:SECRET_POLICE_INTRO,I think it is best if you come with me.,아무래도 따라오셔야 할 거 같습니다.
traveler:SECRET_POLICE_INTRO,This group is very dangerous.,이 집단은 굉장히 위험하거든요.
traveler:SECRET_POLICE_INTRO,"If you see any curious thing, report immediately.","뭔가 수상한 걸 보시면, 즉시 보고해주십시오."
traveler:SECRET_POLICE_CAUGHT,Hello inspector.,안녕하십니까 검사관님.
traveler:SECRET_POLICE_CAUGHT,There is small discrepancy with your finances.,선생님의 자산에 뭔가 좀 이상한 점이 있어서 말이죠.
traveler:SECRET_POLICE_CAUGHT,The Ministry of Income was thoughtful enough to notify us.,소득부에서 이를 고려해 저희에게 알려주더군요.
traveler:SECRET_POLICE_CAUGHT,It is best if you come with me.,아무래도 따라오셔야 할 거 같습니다.
traveler:SECRET_POLICE_FINAL,Inspector.,검사관.
traveler:SECRET_POLICE_FINAL,It has been some time.,간만입니다.
traveler:SECRET_POLICE_FINAL,Read your bulletin carefully today.,오늘 공고를 유심히 읽어보십시오.
traveler:SECRET_POLICE_FINAL,We will be speaking with many workers.,노동자들에게 발표할 심산이거든요.
traveler:SECRET_POLICE_FINAL,Your audit comes soon.,선생의 검사가 곧 입니다.
traveler:SECRET_POLICE_FINAL,I will personally conduct it.,제가 개인적으로 검사를 맡을 예정입니다.
traveler:SECRET_POLICE_FINAL,There is nothing to fear.,두려워할 것 없습니다.
traveler:SECRET_POLICE_FINAL,Work hard.,근면하게 노동하십시오.
traveler:JORJI_BASE,All right! You the best!,좋습니다! 최고군요!
traveler:JORJI_BASE,Arstotzka the best!,아스토츠카는 최고의 국가이지요!
traveler:JORJI_BASE,"Here, take this!","자, 받으시죠!"
traveler:JORJI0,Ok! Here we go!,좋습니다! 가볼까요!
traveler:JORJI0,Glory to Arstotzka!,아스토츠카에 영광 있으라!
traveler:JORJI0,The greatest country!,최고의 국가여!
traveler:JORJI0,@Where is your passport?,@여권은 어디있습니까?
traveler:JORJI0,Passport!,여권!
traveler:JORJI0,"Arstotzka so great, passport not required.",아스토츠카는 너무 위대해서 여권도 필요 없는 곳 아닙니까.
traveler:JORJI0,Right?,맞지요?
traveler:JORJI0,@A passport is required.,@여권은 필요합니다.
traveler:JORJI0,"Ok, ok. I hear you.","좋습니다, 좋아요. 알겠습니다."
traveler:JORJI0,I come back again.,다시 오지요.
traveler:JORJI1,Ok! Hello again!,좋아요! 다시 만나서 반갑습니다!
traveler:JORJI1,Now I have passport!,이제 여권을 가져왔습니다!
traveler:JORJI1,Arstotzka still best country for sure!,아스토츠카는 여전히 최고의 국가지요!
traveler:JORJI1,@This passport is crude fake.,@조잡한 가짜로군요.
traveler:JORJI1,Hey now! Is not true!,이보시오! 거짓말 맙시다!
traveler:JORJI1,Is pre-approved!,사전에 입국 허가가 되었잖습니까!
traveler:JORJI1,@ Cobrastan is not a real country.,@코브라스탄은 실제 국명이 아닙니다.
traveler:JORJI1,"Ok, ok.","좋습니다, 좋아요."
traveler:JORJI1,"You no like passport, I understand.",여권을 싫어하는군요. 알았어요.
traveler:JORJI1,I come back again with better one.,다음 번엔 더 잘 해서 오지요.
traveler:JORJI2,Old friend hello!,오랜 친구여 반갑습니다!
traveler:JORJI2,I am back again!,다시 돌아왔습니다!
traveler:JORJI2,This time everything set.,이번엔 모든 게 제대로 되었지요.
traveler:JORJI2,@You are missing an entry permit.,@입국 허가증이 없는데요.
traveler:JORJI2,Oh man you funny guy!,아주 재밌는 분이시구만!
traveler:JORJI2,@An entry permit is required.,@입국 허가증이 필요합니다.
traveler:JORJI2,"Wow, you run very strict border here.","이야, 여기 검문소는 정말 엄격하군요."
traveler:JORJI2,That is good. Do job right.,좋은 겁니다. 제대로 일하는 거니까요.
traveler:JORJI2,I look for entry thing and come back.,입국 뭐시기를 받아서 다시 오지요.
traveler:JORJI3,Hey it is me!,"이봐요, 접니다!"
traveler:JORJI3,Are you happy to see?,만나서 반갑지요?
traveler:JORJI3,I have everything you ask for now.,이제 필요한 모든 게 다 있습니다.
traveler:JORJI3,@Tickets are no longer accepted.,@표는 더 이상 받지 않습니다.
traveler:JORJI3,Hey no!,말도 안 돼!
traveler:JORJI3,Guy sold me ticket. Say is good!,표를 살 때는 아직 괜찮다고 했는데!
traveler:JORJI3,You check again maybe.,다시 한번 확인 좀 부탁합니다.
traveler:JORJI3,@Do not come back again.,@다신 오지 마시죠.
traveler:JORJI3,Haha!,하하!
traveler:JORJI3,You nice guy but I have business in Arstotzka.,친절하시군요. 하지만 아스토츠카에 일이 있어서 말입니다.
traveler:JORJI3,I get right papers and come see you.,제대로 된 서류를 가지고 다시 오지요.
traveler:JORJI4,Hello my guy!,반갑습니다!
traveler:JORJI4,Ok. Today is day!,좋습니다. 오늘에야말로 입국을 해야지요.
traveler:JORJI4,Look at all good papers.,이 서류를 잘 봐주십쇼.
traveler:JORJI4,Was not easy.,쉽지 않았거든요.
traveler:JORJI4,Or cheap! Haha!,싸지 않았다고 해야하나! 하하하!
traveler:JORJI4,@I told you not to come back.,@다시 오지 말라고 했을 텐데요.
traveler:JORJI4,This is crap.,에라이.
traveler:JORJI4,You know what? Forget it.,때려치우렵니다.
traveler:JORJI4,Arstotzka worst country.,아스토츠카는 최악의 국가요.
traveler:JORJI4,You worst person.,당신도 최악이고.
traveler:JORJI4,Thank you so much!,아주 고맙습니다!
traveler:JORJI4,"If I am honest to you, I was little nervous.","솔직히 말하면, 좀 긴장하고 있었지요."
traveler:JORJI4,Even with right papers is hard to say.,서류를 잘 챙겨와놓고서도 말입니다.
traveler:JORJI4,Ok bye!,좋습니다. 그럼 안녕히!
traveler:JORJI_SMUGGLE0,Again I am here!,또 왔지요!
traveler:JORJI_SMUGGLE0,Everything all set up now.,이젠 모든 걸 다 갖췄습니다.
traveler:JORJI_SMUGGLE0,I come through often to see you.,가끔 보러 오지요.
traveler:JORJI_SMUGGLE0,We become good friends!,우린 친구잖습니까!
traveler:JORJI_SMUGGLE0,@Your weight is different.,@체중이 다르군요.
traveler:JORJI_SMUGGLE0,Is sad story.,슬픈 사연이 있지요.
traveler:JORJI_SMUGGLE0,My wife very bad cook.,우리 마누라가 요리치거든요.
traveler:JORJI_SMUGGLE0,"But if I do not eat, she get angry.",하지만 안 먹으면 화를 내서 말입니다.
traveler:JORJI_SMUGGLE0,"Uh oh, maybe you not like this!","이런, 안 좋아할 거 같은데!"
traveler:JORJI_SMUGGLE0,@What is this?,@이건 뭐지요?
traveler:JORJI_SMUGGLE0,Is drugs!,마약이지요!
traveler:JORJI_SMUGGLE0,I have little side business here.,여기서 작은 부업을 하고 있거든요.
traveler:JORJI_SMUGGLE0,You let me through and I give you something something.,통과만 시켜주면 이것저것 드리지요.
traveler:JORJI_SMUGGLE0,@Something what?,@이것저것이 뭡니까?
traveler:JORJI_SMUGGLE0,Ten credits.,열 장 말입니다.
traveler:JORJI_SMUGGLE0,I give you ten credits for just little stamp.,도장 한 장만 찍으면 열 장을 드리지요.
traveler:JORJI_SMUGGLE0,@Wait here Jorji.,@기다리십쇼 Jorji.
traveler:JORJI_SMUGGLE0,"Is ok, I understand.",괜찮아요. 이해합니다.
traveler:JORJI_SMUGGLE0,Drugs are bad. Not good for kids.,마약은 나쁘지요. 애들한테 좋을 게 없어요.
traveler:JORJI_SMUGGLE0,You do great work here still.,아직도 좋은 일을 하는군요.
traveler:JORJI_SMUGGLE0,Ok!,좋습니다!
traveler:JORJI_SMUGGLE0,We go full speed!,빠르게 가봅시다!
traveler:JORJI_SMUGGLE0,Hey what is problem?,뭐가 문젭니까?
traveler:JORJI_SMUGGLE0,@I do not trust you.,@당신을 못 믿겠습니다만.
traveler:JORJI_SMUGGLE0,"Ok, ok.","좋습니다, 좋아요."
traveler:JORJI_SMUGGLE0,You good guy so I win trust next time.,당신은 좋은 사람이니 다음 번엔 신뢰를 얻어보겠어요.
traveler:JORJI_SMUGGLE1,"Ok, I am back!","좋아요, 다시 돌아왔습니다!"
traveler:JORJI_SMUGGLE1,Same procedure!,똑같은 절차군요!
traveler:JORJI_SMUGGLE1,They told me this hard business.,이 일도 어렵다고 들었는데.
traveler:JORJI_SMUGGLE1,So far everything smooth like ice!,아직까진 얼음 위를 미끄러지는 것처럼 매끄럽군요!
traveler:JORJI_SMUGGLE1,Thanks to you!,감사합니다!
traveler:JORJI_SMUGGLE1,Buy something happy for wife.,아내 분께 좋은 물건이라도 사드리시죠.
traveler:JORJI_SMUGGLE1,Phew!,휴!
traveler:JORJI_SMUGGLE1,"Was tough one. Lucky for me, guard was easy.",힘들었군요. 다행히 경비대는 쉬웠어요.
traveler:JORJI_SMUGGLE1,He asks for big money but is reasonable man.,돈을 많이 요구하긴 했지만 합리적인 사람이었죠.
traveler:JORJI_SMUGGLE1,"Oh man, again!",또 이겁니까!
traveler:JORJI_SMUGGLE1,That guard have another good day.,다시 한번 경비랑 씨름해야겠구만...
traveler:JORJI_SMUGGLE1,Not sure I keep this up with no sales!,물건을 팔 수 있을지는 모르지만!
traveler:JORJI_SMUGGLE1,"Ok, we try again!","자, 다시 한번 해봅시다!"
traveler:JORJI_SMUGGLE1,"Sorry to bother you, but this my only job.","방해해서 미안합니다만, 이게 내 유일한 일이거든요."
traveler:JORJI_SMUGGLE1,"@Wait here, Jorji.","@기다려요, Jorji."
traveler:JORJI_SMUGGLE1,"Is ok, I understand.",괜찮아요. 이해합니다.
traveler:JORJI_SMUGGLE1,Drugs are bad. Not good for kids.,마약은 나쁘지요. 애들한테 좋을 게 없어요.
traveler:JORJI_SMUGGLE1,You do great work here still.,아직도 좋은 일을 하는 군요.
traveler:JORJI_SMUGGLE1,@I see a difference here.,@여기 뭔가 다른 게 보이는데요.
traveler:JORJI_SMUGGLE1,Is real mystery for sure.,정말 이상한 일이로군요.
traveler:JORJI_SMUGGLE1,Maybe things get too sexy in here.,뭔가 재밌게 되어가는 거 같은데.
traveler:JORJI_SMUGGLE1,@Drugs?,@마약입니까?
traveler:JORJI_SMUGGLE1,Looks like good stuff right?,괜찮아보이지 않습니까?
traveler:JORJI_SMUGGLE1,Wait! I give you 10 credits for ok stamp!,잠깐! 허가만 하면 열 장 드리겠습니다!
traveler:JORJI_SMUGGLE1,Think about family!,가족을 생각하란 말입니다!
traveler:JORJI_SMUGGLE1,They can buy many happy things with these credits.,이 돈으로 좋은 것들을 살 수 있을 거 아닙니까.
traveler:JORJI_SMUGGLE1,Just for little harmless drugs!,무해한 마약 조금인데!
traveler:JORJI_SMUGGLE1,"This much better, see?",괜찮지 않습니까?
traveler:JORJI_SMUGGLE1,"Wow, you really stand-up guy.","이야, 정말 대쪽 같으시구만."
traveler:JORJI_SMUGGLE1,Maybe is not so good for me when I think about.,내 입장에서야 좋은 사람은 아니지만.
traveler:JORJI_CRIMINAL,Is good to see you again!,다시 만나서 반가웠습니다!
traveler:JORJI_CRIMINAL,Today I come just for short visit.,오늘은 잠깐 들르러 왔지요.
traveler:JORJI_CRIMINAL,Everything is definitely ok with me.,요즘은 다 잘 풀리고 있거든요.
traveler:JORJI_CRIMINAL,For sure I am not in criminal bulletin or anything!,범죄 같은 거에 연루도 안 되고 말입니다!
traveler:JORJI_CRIMINAL,@Your face is in wanted bulletin.,@선생 얼굴이 지명수배 공고판에 있습니다만.
traveler:JORJI_CRIMINAL,What! I pay police like crazy!,뭐라! 경찰한테 그렇게 돈을 줬는데!
traveler:JORJI_CRIMINAL,They promise no bulletin. All clear they say.,절대 수배 안 할 거랬는데. 다 깨끗하댔는데.
traveler:JORJI_CRIMINAL,I think twice about trusting friendly people.,친절한 사람들 믿는 건 다시 생각해봐야 할 거 같군요.
traveler:JORJI_CRIMINAL,Hey I really like you.,당신은 참 맘에 든단 말이죠.
traveler:JORJI_CRIMINAL,I know is risky to help me like this.,나 같은 사람을 돕는 건 힘들겠지만 말이죠.
traveler:JORJI_CRIMINAL,I try to make it up for you.,보상은 확실히 해드리겠습니다.
traveler:JORJI_CRIMINAL,"Ah, is ok.","아, 이 정도면 되겠군요."
traveler:JORJI_CRIMINAL,At least you do not arrest me.,최소한 체포는 하지 맙시다.
traveler:JORJI_CRIMINAL,Thanks anyways.,어쨌거나 고맙군요.
traveler:JORJI_CRIMINAL,@Sorry Jorji.,@미안합니다 Jorji.
traveler:JORJI_CRIMINAL,"Ah, is ok. Most police know me now.","아, 괜찮아요. 웬만한 경찰은 다 알거든요."
traveler:JORJI_CRIMINAL,I have little talk with them again.,그쪽이랑 얘기 좀 해봐야 해서 말이죠.
traveler:JORJI_CRIMINAL,"Anyway, you have tough job.","어쨌든, 힘든 일 하십니다."
traveler:JORJI_CRIMINAL,I rather sell drugs!,차라리 마약 파는 게 낫지!
traveler:JORJI_PASSPORTS,I read newspaper.,신문을 봤습니다.
traveler:JORJI_PASSPORTS,@Hello Jorji.,@반갑습니다 Jorji.
traveler:JORJI_PASSPORTS,Things getting little crazy in Arstotzka.,아스토츠카가 미쳐돌아가는 거 같던데.
traveler:JORJI_PASSPORTS,Maybe you think about going away for a bit.,잠시 다른 곳에 가 있는 게 어떻습니까.
traveler:JORJI_PASSPORTS,Obristan is good place.,오브리스탄은 좋은 곳입니다.
traveler:JORJI_PASSPORTS,Right next door up north.,바로 북쪽에 있으니 말이지요.
traveler:JORJI_PASSPORTS,@Our passports have been confiscated.,@여권이 모두 압수되어서 말입니다.
traveler:JORJI_PASSPORTS,@We cannot leave.,@떠날 수가 없지요.
traveler:JORJI_PASSPORTS,Hey that not good sign.,그거 나쁜 소식이군요.
traveler:JORJI_PASSPORTS,Hold on.,잠깐.
traveler:JORJI_PASSPORTS,I know a guy.,아는 사람이 있습니다.
traveler:JORJI_PASSPORTS,Just give him real passports to work with.,가진 진짜 여권이 있으면 주시죠.
traveler:JORJI_PASSPORTS,He changes info to match for you.,정보를 수정 해줄 테니까요.
traveler:JORJI_PASSPORTS,I learn that in hard way.,어렵게 얻은 정보지요.
traveler:JORJI_PASSPORTS,Thanks again!,고맙군요!
traveler:JORJI_PASSPORTS,Bah! Maybe you right.,하! 마음대로 하시죠.
traveler:JORJI_PASSPORTS,Better to take little break.,조금 쉬는 게 좋을 겁니다.
traveler:JORJI_PASSPORTS,Hey what the hell?,뭡니까 이게?
traveler:JORJI_PASSPORTS,You take my passport!,내 여권을 가져갔잖아요!
traveler:JORJI_PASSPORTS,You can see it was expensive!,얼마나 비싼 녀석인데!
traveler:JORJI_PASSPORTS,@You said I need real Obristan passports.,@오브리스탄 여권이 필요하다고 했잖습니까.
traveler:JORJI_PASSPORTS,Man. Fine.,이런. 좋아요.
traveler:JORJI_PASSPORTS,I get another but little unhappy about it.,다른 거야 있지만 좀 기분이 나쁘군요.
traveler:JORJI_PASSPORTS,Memorize flyer and give back.,전단지는 보고 기억한 후에 돌려주시죠.
traveler:JORJI_PASSPORTS,Hey you know what.,잠깐.
traveler:JORJI_PASSPORTS,Take my passport.,내 여권을 가져가시죠.
traveler:JORJI_PASSPORTS,I get another one no problem.,하나 더 있으니 문제는 없습니다.
traveler:JORJI_PASSPORTS,Now memorize flyer and give back if you finish reading.,전단지는 보고 기억한 후에 돌려주시죠.
traveler:JORJI_PASSPORTS,Do not want to get in trouble!,말썽에 엮이긴 싫거든요!
traveler:JORJI_PASSPORTS,Obristan really great this time of year.,이때 즈음의 오브리스탄은 정말 좋은 곳입니다.
traveler:JORJI_PASSPORTS,Lots of snow.,눈이 많이 내리지요.
traveler:JORJI_PASSPORTS,Not sure where you get more passports for family.,가족들 여권까지는 어디서 구해야 할지 모르겠군요.
traveler:JORJI_PASSPORTS,But you smart guy.,하지만 당신은 똑똑한 양반이니까.
traveler:JORJI_PASSPORTS,Probably figure it out!,아마 이해할 겁니다!
traveler:JORJI_PASSPORTS,Good luck.,행운을 빌지요.
traveler:JORJI_GOODBYE,Ho boy! I make big score!,반갑습니다! 대박이 났어요!
traveler:JORJI_GOODBYE,Huge! You have no idea!,엄청 크게 말이지요! 짐작도 못 할 겁니다!
traveler:JORJI_GOODBYE,Anyway. I just want to say thank you.,"어쨌든, 감사의 말을 전하러 왔습니다."
traveler:JORJI_GOODBYE,I wait in line just for that!,그걸 위해서 대기하고 있었지요!
traveler:JORJI_GOODBYE,Maybe I quit now.,이제 은퇴할까 싶습니다.
traveler:JORJI_GOODBYE,Haha!,하하!
traveler:BROTHEL0,Hello handsome.,안녕 멋쟁이.
traveler:BROTHEL0,You look bored.,지루해 보이네.
traveler:BROTHEL0,"If you want good time, come see us.","좋은 시간을 보내고 싶으면, 우릴 보러 와요."
traveler:BROTHEL0,I will be around couple months.,몇 달 동안은 머물러 있을 예정이니까.
traveler:BROTHEL0,Don't forget to visit.,꼭 들러요.
traveler:BROTHEL1,Hey there.,안녕.
traveler:BROTHEL1,I can make you happy any time.,언제든 행복하게 만들어줄 수 있어요.
traveler:BROTHEL1,Come to Pink Vice. Ask for Ava.,핑크 바이스로 와요. Ava에게 물어보고.
traveler:BROTHEL2,Oh. Here.,오. 여기예요.
traveler:BROTHEL2,Please help me.,도와줘요.
traveler:BROTHEL3,Hello friend.,안녕 친구.
traveler:BROTHEL3,"You come down, I give you good girl.","도와주면, 좋은 여자를 소개시켜 주지."
traveler:BROTHEL3,That little bitch.,그 망할 년.
traveler:BROTHEL3,I break her in two.,반으로 분질러 버리겠어.
traveler:BROTHEL3,@You are Dari Ludum?,@당신이 Dari Ludum이요?
traveler:BROTHEL3,"Of course, it says on passport.","물론, 여권에 그리 써져 있잖소."
traveler:BROTHEL3,@One moment.,@잠시만 기다려주시죠.
traveler:BROTHEL3,What is this shit?,이게 뭐하는 짓거리지?
traveler:BROTHEL3,Give my papers back.,내 서류 돌려주쇼.
traveler:KILLERATHLETE,@You are Vince Lestrade?,@당신이 Vince Lestrade입니까?
traveler:KILLERATHLETE,Damn.,망할.
traveler:KILLERATHLETE,"Look, I did not kill her. I was set up.","보소, 난 안 죽였소. 다 모함이라고."
traveler:KILLERATHLETE,Do not believe the Republian lies.,리퍼블리아 사람들이 하는 말 믿지 마시오.
traveler:KILLERATHLETE,Let me through.,좀 지나갑시다.
traveler:KILLERATHLETE,Shit.,제기랄.
traveler:HUSBAND_WIFE0,"Today is beautiful day, my friend.","아름다운 날입니다, 친구."
traveler:HUSBAND_WIFE0,We finally become free from Antegrian tyranny!,드디어 안테그리아의 폭정에서 벗어났어요!
traveler:HUSBAND_WIFE0,Thank you so much!,아주 고맙습니다!
traveler:HUSBAND_WIFE0,"Please be kind to my wife, she is just after me.",우리 마누라도 잘 대해주시죠. 바로 따라왔으니까요.
traveler:HUSBAND_WIFE0,No! They will kill us!,안 돼! 놈들이 우릴 죽일 거요!
traveler:HUSBAND_WIFE0,"Please, I beg you.","제발, 부탁이요."
traveler:HUSBAND_WIFE0,Let my wife pass. She is coming to you next.,마누라는 통과시켜 주시오. 다음에 오고 있소.
traveler:HUSBAND_WIFE1,Did you see my husband?,우리 남편 보셨나요?
traveler:HUSBAND_WIFE1,"He made it through, yes?",통과한 거 맞죠?
traveler:HUSBAND_WIFE1,@Where is your entry permit?,@입국 허가증은 어디에 있습니까?
traveler:HUSBAND_WIFE1,"Please, I beg you.","제발, 부탁이에요."
traveler:HUSBAND_WIFE1,They would not give me permit. I have no choice.,저한테 허가증을 안 줬어요. 달리 방법이 없었다고요.
traveler:HUSBAND_WIFE1,I will be killed if I return to Antegria.,안테그리아로 돌아가면 죽을 거예요.
traveler:HUSBAND_WIFE1,Thank you.,고마워요.
traveler:HUSBAND_WIFE1,We will not forget.,잊지 않겠어요.
traveler:HUSBAND_WIFE1,Why?,왜죠?
traveler:HUSBAND_WIFE1,You have doomed me.,당신이 날 죽인 거예요.
traveler:HUSBAND_WIFE1,Why did you turn my husband away?,왜 우리 남편을 돌려보낸 거죠?
traveler:HUSBAND_WIFE1,I will not leave him to die.,절대 죽게 두지 않겠어요.
traveler:HUSBAND_WIFE1,You have doomed us both.,우리 둘을 다 죽인 거예요.
traveler:HIRING_ENGINEERS_START,"You see many people, yes?",사람들 많이 만나지요?
traveler:HIRING_ENGINEERS_START,I am looking for engineers.,기술자를 찾고 있습니다.
traveler:HIRING_ENGINEERS_START,Do me a favor.,도와주시죠.
traveler:HIRING_ENGINEERS_START,Give my card to any engineers you meet.,만나는 아무 기술자한테 내 카드를 보여주십쇼.
traveler:HIRING_ENGINEERS_START,I come back in few days.,며칠 뒤에 다시 올 테니.
